year,scenario,house_price_level,house_price_index
2066,medium_immigration,3,1
2067,medium_immigration,3,1
2068,medium_immigration,3,1
2069,medium_immigration,3,1
2070,medium_immigration,3,1
2071,medium_immigration,3,1
2072,medium_immigration,3,1
2073,medium_immigration,3,1
2074,medium_immigration,3,1
2075,medium_immigration,3,1
2076,medium_immigration,3,1
2077,medium_immigration,3,1
2078,medium_immigration,3,1
2079,medium_immigration,3,1
2080,medium_immigration,3,1
2081,medium_immigration,3,1
2082,medium_immigration,3,1
2083,medium_immigration,3,1
2084,medium_immigration,3,1
2085,medium_immigration,3,1
2086,medium_immigration,3,1
2087,medium_immigration,3,1
2088,medium_immigration,3,1
2089,medium_immigration,3,1
2090,medium_immigration,3,1
2091,medium_immigration,3,1
2092,medium_immigration,3,1
2093,medium_immigration,3,1
2094,medium_immigration,3,1
2095,medium_immigration,3,1
2096,medium_immigration,3,1
2097,medium_immigration,3,1
2098,medium_immigration,3,1
2099,medium_immigration,3,1
2100,medium_immigration,3,1
2020,high_immigration,3,1
2021,high_immigration,3,1
2022,high_immigration,3,1
2023,high_immigration,3,1
2024,high_immigration,3,1
2025,high_immigration,3,1
2026,high_immigration,3,1
2027,high_immigration,3,1
2028,high_immigration,3,1
2029,high_immigration,3,1
2030,high_immigration,3,1
2031,high_immigration,3,1
2032,high_immigration,3,1
2033,high_immigration,3,1
2034,high_immigration,3,1
2035,high_immigration,3,1
2036,high_immigration,3,1
2037,high_immigration,3,1
2038,high_immigration,3,1
2039,high_immigration,3,1
2040,high_immigration,3,1
2041,high_immigration,3,1
2042,high_immigration,3,1
2043,high_immigration,3,1
2044,high_immigration,3,1
2045,high_immigration,3,1
2046,high_immigration,3,1
2047,high_immigration,3,1
2048,high_immigration,3,1
2049,high_immigration,3,1
2050,high_immigration,3,1
2051,high_immigration,3,1
2052,high_immigration,3,1
2053,high_immigration,3,1
2054,high_immigration,3,1
2055,high_immigration,3,1
2056,high_immigration,3,1
2057,high_immigration,3,1
2058,high_immigration,3,1
2059,high_immigration,3,1
2060,high_immigration,3,1
2061,high_immigration,3,1
2062,high_immigration,3,1
2063,high_immigration,3,1
2064,high_immigration,3,1
2065,high_immigration,3,1
2066,high_immigration,3,1
2067,high_immigration,3,1
2068,high_immigration,3,1
2069,high_immigration,3,1
2070,high_immigration,3,1
2071,high_immigration,3,1
2072,high_immigration,3,1
2073,high_immigration,3,1
2074,high_immigration,3,1
2075,high_immigration,3,1
2076,high_immigration,3,1
2077,high_immigration,3,1
2078,high_immigration,3,1
2079,high_immigration,3,1
2080,high_immigration,3,1
2081,high_immigration,3,1
2082,high_immigration,3,1
2083,high_immigration,3,1
2084,high_immigration,3,1
2085,high_immigration,3,1
2086,high_immigration,3,1
2087,high_immigration,3,1
2088,high_immigration,3,1
2089,high_immigration,3,1
2090,high_immigration,3,1
2091,high_immigration,3,1
2092,high_immigration,3,1
2093,high_immigration,3,1
2094,high_immigration,3,1
2095,high_immigration,3,1
2096,high_immigration,3,1
2097,high_immigration,3,1
2098,high_immigration,3,1
2099,high_immigration,3,1
2100,high_immigration,3,1
