re_weight,k,period_index,calendar_year,final_price,implied_price,young_share_25_44,pressure_index
1,3,1,2011,2.04533933217709,2.04533933824839,0.388216944957524,-0.00315461282974067
1,3,2,2012,2.03252312578806,2.03252312673007,0.385637750044709,-0.00573380774255622
1,3,3,2013,2.01881931236696,2.01881931243739,0.383691080647066,-0.00768047714019887
1,5,1,2011,2.04741147251408,2.04741148328096,0.388216944957524,-0.00315461282974067
1,5,2,2012,2.03686593839354,2.03686594134887,0.385637750044709,-0.00573380774255622
1,5,3,2013,2.02792230401275,2.02792230459961,0.383691080647066,-0.00768047714019887
1,5,4,2014,2.01905624880902,2.01905624888396,0.3818267996419,-0.00954475814536521
1,5,5,2015,2.00989300454992,2.00989300455453,0.379975766516068,-0.0113957912711964
1,8,1,2011,2.0476503497609,2.04765035924105,0.388216944957524,-0.00315461282974067
1,8,2,2012,2.03736688908684,2.03736689340701,0.385637750044709,-0.00573380774255622
1,8,3,2013,2.02897373640186,2.02897373804606,0.383691080647066,-0.00768047714019887
1,8,4,2014,2.02126344411976,2.02126344462833,0.3818267996419,-0.00954475814536521
1,8,5,2015,2.01452710496955,2.01452710509248,0.379975766516068,-0.0113957912711964
1,8,6,2016,2.00973226699551,2.00973226701731,0.378474680111195,-0.0128968776760698
1,8,7,2017,2.00722354155424,2.00722354155677,0.37788380747353,-0.0134877503137348
1,8,8,2018,2.00492190279348,2.00492190279362,0.377899531218623,-0.0134720265686414
1.25,1,1,2011,2.02974659522652,2.02974660237114,0.388216944957524,-0.00315461282974067
1.25,2,1,2011,2.04386359069576,2.04386360125024,0.388216944957524,-0.00315461282974067
1.25,2,2,2012,2.02351214046558,2.0235121411704,0.385637750044709,-0.00573380774255622
1.25,3,1,2011,2.05060656525491,2.05060657476574,0.388216944957524,-0.00315461282974067
1.25,3,2,2012,2.03478213484836,2.03478213602718,0.385637750044709,-0.00573380774255622
1.25,3,3,2013,2.01881931236696,2.01881931243739,0.383691080647066,-0.00768047714019887
1.25,5,1,2011,2.05491690133023,2.05491690924824,0.388216944957524,-0.00315461282974067
1.25,5,2,2012,2.0419996341121,2.04199963576207,0.385637750044709,-0.00573380774255622
1.25,5,3,2013,2.03090917953653,2.0309091797862,0.383691080647066,-0.00768047714019887
1.25,5,4,2014,2.02023821397115,2.02023821399554,0.3818267996419,-0.00954475814536521
1.25,5,5,2015,2.00989300455338,2.00989300455453,0.379975766516068,-0.0113957912711964
1.25,8,1,2011,2.05573918981986,2.05573919885965,0.388216944957524,-0.00315461282974067
1.25,8,2,2012,2.04337770947735,2.04337771255221,0.385637750044709,-0.00573380774255622
1.25,8,3,2013,2.03322090340811,2.03322090428305,0.383691080647066,-0.00768047714019887
1.25,8,4,2014,2.02411743811523,2.02411743831779,0.3818267996419,-0.00954475814536521
1.25,8,5,2015,2.01640521451228,2.01640521454895,0.379975766516068,-0.0113957912711964
1.25,8,6,2016,2.01093943796875,2.01093943797362,0.378474680111195,-0.0128968776760698
1.25,8,7,2017,2.00780877763444,2.00780877763486,0.37788380747353,-0.0134877503137348
1.25,8,8,2018,2.00492190279361,2.00492190279362,0.377899531218623,-0.0134720265686414
