row_id,run_tag,family,route,demographic_scenario,post_report_mode,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,terminal_iter,shock_amplitude,pass_through,ttb_proxy_lag_years,vote_shift_mode,vote_shift_horizon,vote_block_length,source_mode,source_run_tag,source_outer,nore_tag,hybrid_switch_period,seed_blend_weight,outer_iter,path_update_method,basis_dim,basis_damping,broyden_damping,broyden_step_cap,basis_step_cap,basis_tail_weight,basis_end_weight,basis_focus_start,basis_focus_end,basis_focus_weight,path_relaxation,vote_scale,max_abs_log_price_move,notes
11,w80_pff40f37_ref,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pff80_from40_f37,13,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,26,48,8,0.007,0.02,0.18,refocus_best_failsafe_T40_to_T80_period37
12,w80_pff40f37_t120,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,120,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pff80_from40_f37,13,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.18,12,26,50,8,0.007,0.02,0.18,long_tail_refocus_best_failsafe_T40_to_T80
13,w80_pff80f37_ref,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pff80_f37_from80,11,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,26,48,8,0.007,0.02,0.18,continue_failsafe_T80_period37_from_best_T80_seed
14,w80_grid_o5_ref,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,re80tail80_pt006_ttb4,5,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,18,42,8,0.007,0.02,0.18,continue_original_best_T80_grid_seed
15,w80_proj6_o4_ref,re,projected_pf_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,projbb80_basis6_l4,4,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,18,42,8,0.007,0.02,0.18,continue_projected_basis6_outer4_survivor
16,w80_proj4_o9_ref,re,projected_pf_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,projbb80_basis4_l4,9,none,,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.14,12,18,42,8,0.007,0.02,0.18,continue_projected_basis4_outer9_survivor
17,w80_tail160_b40,re,terminal_tail_sweep,published_baby_boom,return_to_steady_state,80,160,terminal_fixed_point,1.00,0.10,240,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.20,12,10,34,7,0.007,0.02,0.18,very_long_hidden_tail_from_T40_RSS_seed
18,w80_tail120_soft20,re,terminal_tail_sweep,published_baby_boom,return_to_steady_state,80,120,soft_reference,0.20,0.10,240,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.18,12,10,34,7,0.007,0.02,0.18,long_tail_soft_reference_020_from_T40_RSS_seed
19,w80_softref15_b40,re,terminal_tail_sweep,published_baby_boom,return_to_steady_state,80,80,soft_reference,0.15,0.10,240,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.16,12,10,34,7,0.007,0.02,0.18,soft_reference_low_weight_from_T40_RSS_seed
20,w80_softref60_b40,re,terminal_tail_sweep,published_baby_boom,return_to_steady_state,80,80,soft_reference,0.60,0.10,240,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.16,12,10,34,7,0.007,0.02,0.18,soft_reference_high_weight_from_T40_RSS_seed
21,w80_focus_early_b40,re,focus_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.12,12,1,20,8,0.007,0.02,0.18,early_residual_focus_from_T40_RSS_seed
22,w80_focus_mid_b40,re,focus_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.12,12,20,40,8,0.007,0.02,0.18,mid_residual_focus_from_T40_RSS_seed
23,w80_focus_late_b40,re,focus_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.12,12,35,60,8,0.007,0.02,0.18,late_residual_focus_from_T40_RSS_seed
24,w80_focus_uniform_b40,re,focus_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.35,10,NaN,NaN,1,0.007,0.02,0.18,uniform_higher_tail_weight_from_T40_RSS_seed
25,w80_basis3_b40,re,basis_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,3,0.22,0.36,0.0018,0.00035,0.12,10,10,30,7,0.008,0.02,0.18,low_dimension_basis3_from_T40_RSS_seed
26,w80_basis8_b40,re,basis_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,8,0.18,0.34,0.0015,0.00025,0.12,12,10,34,7,0.006,0.02,0.18,higher_dimension_basis8_from_T40_RSS_seed
27,w80_lag1_b40,re,lag_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,1,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.12,10,10,30,7,0.007,0.02,0.18,one_year_delivery_lag_diagnostic
28,w80_lag2_b40,re,lag_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,2,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.12,10,10,30,7,0.007,0.02,0.18,two_year_delivery_lag_diagnostic
29,w80_lag8_b40,re,lag_sweep,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,8,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.21,0.36,0.0018,0.00030,0.12,10,10,30,7,0.007,0.02,0.18,eight_year_delivery_lag_diagnostic
30,w80_pt004_b40,re,homotopy_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.004,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,lower_pass_through_004_homotopy_diagnostic
31,w80_pt005_b40,re,homotopy_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.005,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,lower_pass_through_005_homotopy_diagnostic
32,w80_pt007_b40,re,homotopy_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.007,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.12,10,10,30,7,0.007,0.02,0.18,higher_pass_through_007_diagnostic
33,w80_amp015_b40,re,homotopy_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.15,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,lower_shock_amplitude_015_homotopy_diagnostic
34,w80_amp020_b40,re,homotopy_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.20,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,lower_shock_amplitude_020_homotopy_diagnostic
35,w80_noreseed_rss,re,seed_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,nore,,,nore80bv4_006,,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.12,10,10,34,7,0.007,0.02,0.18,noRE_T80_path_as_initial_guess_full_RE_solve
36,w80_noreseed_soft,re,seed_diagnostic,published_baby_boom,return_to_steady_state,80,120,soft_reference,0.25,0.10,220,0.25,0.006,4,block_vote,4,4,nore,,,nore80bv4_006,,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.16,10,10,34,7,0.007,0.02,0.18,noRE_T80_seed_with_soft_terminal_reference
37,w80_flat_rss_b6,re,blind_restart,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,flat,,,,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,10,12,36,6,0.007,0.02,0.18,flat_seed_basis6_blind_restart
38,w80_flat_anderson,re,blind_restart,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,flat,,,,,,18,anderson,6,0.00,0.00,0.0000,0.0000,0.12,10,12,36,6,0.020,0.02,0.18,flat_seed_safeguarded_anderson_restart
39,w80_lin005_seed,re,seed_diagnostic,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,linbb80_amp005_l4,8,none,,,18,basis_broyden,5,0.20,0.36,0.0018,0.00030,0.14,10,12,36,6,0.007,0.02,0.18,small_shock_RE_path_as_initial_guess_for_full_shock
40,w80_pfb60o8_ext,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pfb60_from40_o8,8,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,20,44,8,0.007,0.02,0.18,T60_bridge_from_T40_outer8_extended_to_T80
