date,unincorporated_self_employed,incorporated_self_employed,employment_total,recession_flag,year,month,self_employed_total,rate_unincorporated,rate_incorporated,rate_total
2002-02-01,9425.0,4585.0,135443.0,0,2002,2,14010.0,6.958646810835554,3.3851878650059435,10.343834675841498
2002-03-01,9529.0,4497.0,135558.0,0,2002,3,14026.0,7.02946340311896,3.317399194440756,10.346862597559715
2002-04-01,9790.0,4517.0,135903.0,0,2002,4,14307.0,7.203667321545514,3.3236941053545546,10.527361426900068
2002-05-01,9857.0,4523.0,136559.0,0,2002,5,14380.0,7.218125498868621,3.3121215005968114,10.530246999465433
2002-06-01,9927.0,4679.0,137181.0,0,2002,6,14606.0,7.2364248693332165,3.410822198409401,10.647247067742617
2002-07-01,10093.0,4746.0,137495.0,0,2002,7,14839.0,7.340630568384305,3.451761882250264,10.79239245063457
2002-08-01,10060.0,4585.0,137295.0,0,2002,8,14645.0,7.327287956589825,3.3395243818056013,10.666812338395426
2002-09-01,10187.0,4526.0,137377.0,0,2002,9,14713.0,7.415360649890448,3.2945835183473218,10.709944168237769
2002-10-01,10280.0,4590.0,137551.0,0,2002,10,14870.0,7.473591613292524,3.3369441152736075,10.810535728566132
2002-11-01,10341.0,4639.0,136684.0,0,2002,11,14980.0,7.565625823066343,3.3939597904655994,10.959585613531942
2002-12-01,10146.0,4753.0,136599.0,0,2002,12,14899.0,7.427579996925307,3.4795276685773686,10.907107665502675
2003-01-01,10229.0,4838.0,135907.0,0,2003,1,15067.0,7.526470306901043,3.5597872074286094,11.086257514329652
2003-02-01,9882.0,4877.0,136433.0,0,2003,2,14759.0,7.243115668496625,3.574648362199761,10.817764030696386
2003-03-01,9914.0,4999.0,136783.0,0,2003,3,14913.0,7.2479767222534965,3.654693931263388,10.902670653516884
2003-04-01,10094.0,5060.0,137424.0,0,2003,4,15154.0,7.345150774246129,3.6820351612527653,11.027185935498894
2003-05-01,10065.0,4995.0,137567.0,0,2003,5,15060.0,7.316434900811968,3.6309580059171167,10.947392906729085
2003-06-01,10394.0,5118.0,138468.0,0,2003,6,15512.0,7.5064274778288125,3.696160845827195,11.202588323656007
2003-07-01,10475.0,5031.0,138503.0,0,2003,7,15506.0,7.56301307552905,3.6324122943185344,11.195425369847584
2003-08-01,10593.0,4908.0,138137.0,0,2003,8,15501.0,7.668474051123161,3.55299449097635,11.22146854209951
2003-09-01,10446.0,4907.0,137731.0,0,2003,9,15353.0,7.584349202430825,3.5627418663917347,11.14709106882256
2003-10-01,10570.0,4827.0,138619.0,0,2003,10,15397.0,7.625217322300695,3.482206623911585,11.107423946212279
2003-11-01,10602.0,4989.0,138700.0,0,2003,11,15591.0,7.6438356164383565,3.5969718817591927,11.24080749819755
2003-12-01,10282.0,4923.0,138556.0,0,2003,12,15205.0,7.42082623632322,3.5530760125869683,10.973902248910187
2004-01-01,10296.0,4992.0,136924.0,0,2004,1,15288.0,7.519499868540212,3.645818118080103,11.165317986620314
2004-02-01,10067.0,4993.0,137384.0,0,2004,2,15060.0,7.327636405986141,3.6343387876317474,10.961975193617889
2004-03-01,9835.0,5151.0,137691.0,0,2004,3,14986.0,7.142805266865663,3.7409852495805826,10.883790516446245
2004-04-01,10083.0,5226.0,138423.0,0,2004,4,15309.0,7.2841941006913595,3.7753841485880235,11.059578249279383
2004-05-01,10354.0,5224.0,138867.0,0,2004,5,15578.0,7.456055074279706,3.7618728711644955,11.217927945444202
2004-06-01,10494.0,5304.0,139861.0,0,2004,6,15798.0,7.503163855542288,3.792336677129436,11.295500532671724
2004-07-01,10780.0,5266.0,140700.0,0,2004,7,16046.0,7.661691542288557,3.7427149964463395,11.404406538734897
2004-08-01,10892.0,5328.0,140226.0,0,2004,8,16220.0,7.767461098512402,3.7995806769072784,11.56704177541968
2004-09-01,10582.0,5222.0,139641.0,0,2004,9,15804.0,7.578003594932721,3.7395893756131797,11.317592970545899
2004-10-01,10833.0,5120.0,140447.0,0,2004,10,15953.0,7.713229901671093,3.645503285937044,11.358733187608136
2004-11-01,10616.0,5049.0,140581.0,0,2004,11,15665.0,7.551518341738927,3.5915237478748905,11.143042089613816
2004-12-01,10338.0,4936.0,140278.0,0,2004,12,15274.0,7.369651691640884,3.51872709904618,10.888378790687064
2005-01-01,10314.0,5010.0,138682.0,0,2005,1,15324.0,7.437158391139441,3.6125813011061276,11.049739692245568
2005-02-01,10313.0,5088.0,139100.0,0,2005,2,15401.0,7.4140905823148815,3.657800143781452,11.071890726096333
2005-03-01,10412.0,5350.0,139759.0,0,2005,3,15762.0,7.449967443957098,3.8280182313840254,11.277985675341123
2005-04-01,10833.0,5443.0,140939.0,0,2005,4,16276.0,7.686304003859826,3.861954462568913,11.548258466428738
2005-05-01,10635.0,5426.0,141591.0,0,2005,5,16061.0,7.5110706188952685,3.832164473730675,11.343235092625944
2005-06-01,10560.0,5299.0,142456.0,0,2005,6,15859.0,7.412815185039591,3.7197450440837874,11.132560229123378
2005-07-01,10716.0,5216.0,143283.0,0,2005,7,15932.0,7.478905383053118,3.64034812224758,11.119253505300698
2005-08-01,10367.0,5206.0,143142.0,0,2005,8,15573.0,7.2424585376758746,3.636947925835883,10.879406463511758
2005-09-01,10439.0,5105.0,142579.0,0,2005,9,15544.0,7.321555067716845,3.5804711773823636,10.902026245099208
2005-10-01,10522.0,5199.0,143340.0,0,2005,10,15721.0,7.340588809822799,3.627040602762662,10.967629412585461
2005-11-01,10299.0,5303.0,142968.0,0,2005,11,15602.0,7.203709921101225,3.709221644004253,10.912931565105477
2005-12-01,10163.0,5398.0,142918.0,0,2005,12,15561.0,7.111070683888664,3.776991001833219,10.888061685721883
2006-01-01,10369.0,5541.0,141481.0,0,2006,1,15910.0,7.328899286830033,3.9164269407199552,11.24532622754999
2006-02-01,10419.0,5550.0,141994.0,0,2006,2,15969.0,7.337633984534558,3.9086158570080425,11.2462498415426
2006-03-01,10394.0,5501.0,142772.0,0,2006,3,15895.0,7.280138962821842,3.852996385845964,11.133135348667807
2006-04-01,10489.0,5514.0,143405.0,0,2006,4,16003.0,7.314249851818277,3.8450542170775077,11.159304068895784
2006-05-01,10588.0,5397.0,144041.0,0,2006,5,15985.0,7.35068487444547,3.746849855249547,11.097534729695017
2006-06-01,10698.0,5485.0,145216.0,0,2006,6,16183.0,7.366956809167034,3.7771319964742176,11.144088805641251
2006-07-01,10676.0,5453.0,145606.0,0,2006,7,16129.0,7.3321154348035105,3.7450379792041537,11.077153414007665
2006-08-01,10736.0,5417.0,145379.0,0,2006,8,16153.0,7.38483549893726,3.726122755005881,11.110958253943142
2006-09-01,10720.0,5382.0,145010.0,0,2006,9,16102.0,7.392593614233501,3.7114681746086475,11.104061788842149
2006-10-01,10787.0,5453.0,146125.0,0,2006,10,16240.0,7.382035928143712,3.731736526946108,11.113772455089821
2006-11-01,10580.0,5590.0,146014.0,0,2006,11,16170.0,7.24588053200378,3.82840001643678,11.07428054844056
2006-12-01,10576.0,5701.0,146081.0,0,2006,12,16277.0,7.239819004524887,3.902629363161534,11.14244836768642
2007-01-01,10235.0,5720.0,144275.0,0,2007,1,15955.0,7.094091145382083,3.9646508404089413,11.058741985791023
2007-02-01,10291.0,5864.0,144479.0,0,2007,2,16155.0,7.122834460371403,4.058721336664844,11.181555797036248
2007-03-01,10465.0,5700.0,145323.0,0,2007,3,16165.0,7.201200085327168,3.92229722755517,11.123497312882337
2007-04-01,10497.0,5648.0,145297.0,0,2007,4,16145.0,7.224512550155888,3.887210334693765,11.111722884849653
2007-05-01,10602.0,5713.0,145864.0,0,2007,5,16315.0,7.268414413426205,3.9166620961991994,11.185076509625404
2007-06-01,10804.0,5701.0,146958.0,0,2007,6,16505.0,7.351760366907552,3.879339675281373,11.231100042188924
2007-07-01,10703.0,5602.0,147315.0,0,2007,7,16305.0,7.265383701591827,3.802735634524658,11.068119336116485
2007-08-01,10559.0,5742.0,146406.0,0,2007,8,16301.0,7.21213611464011,3.9219704110487275,11.134106525688837
2007-09-01,10507.0,5690.0,146448.0,0,2007,9,16197.0,7.174560253468808,3.8853381405003824,11.05989839396919
2007-10-01,10293.0,5803.0,146743.0,0,2007,10,16096.0,7.014303919096652,3.954532754543658,10.96883667364031
2007-11-01,10127.0,5835.0,147118.0,0,2007,11,15962.0,6.883590043366549,3.966203999510597,10.849794042877146
2007-12-01,9875.0,5810.0,146334.0,0,2007,12,15685.0,6.748260827968893,3.970369155493597,10.71862998346249
2008-01-01,9876.0,5705.0,144607.0,1,2008,1,15581.0,6.829544904465206,3.945175544752329,10.774720449217535
2008-02-01,10100.0,5782.0,144550.0,1,2008,2,15882.0,6.987201660325147,4.0,10.987201660325146
2008-03-01,9918.0,5830.0,145108.0,1,2008,3,15748.0,6.834909171100146,4.01769716349202,10.852606334592165
2008-04-01,10194.0,5734.0,145921.0,1,2008,4,15928.0,6.985971861486695,3.929523509296126,10.915495370782821
2008-05-01,10335.0,5797.0,145927.0,1,2008,5,16132.0,7.082308277426384,3.9725342123116354,11.05484248973802
2008-06-01,10501.0,5711.0,146649.0,1,2008,6,16212.0,7.160635258337936,3.8943327264420486,11.054967984779985
2008-07-01,10621.0,5682.0,146867.0,1,2008,7,16303.0,7.231713046497852,3.8688064711609824,11.100519517658833
2008-08-01,10340.0,5827.0,145909.0,1,2008,8,16167.0,7.0866087767032875,3.993585042732114,11.0801938194354
2008-09-01,10126.0,5777.0,145310.0,1,2008,9,15903.0,6.968549996559081,3.975638290551235,10.944188287110316
2008-10-01,9735.0,5878.0,145543.0,1,2008,10,15613.0,6.688744907003429,4.038668984423847,10.727413891427275
2008-11-01,9625.0,5872.0,144609.0,1,2008,11,15497.0,6.65587895635818,4.060604803297167,10.716483759655347
2008-12-01,9585.0,5814.0,143350.0,1,2008,12,15399.0,6.686431810254621,4.0558074642483435,10.742239274502964
2009-01-01,9379.0,5599.0,140436.0,1,2009,1,14978.0,6.678486997635934,3.986869463670284,10.665356461306217
2009-02-01,9675.0,5560.0,140105.0,1,2009,2,15235.0,6.905535134363513,3.9684522322543807,10.873987366617893
2009-03-01,9910.0,5640.0,139833.0,1,2009,3,15550.0,7.087025237247288,4.033382677908648,11.120407915155935
2009-04-01,9957.0,5482.0,140586.0,1,2009,4,15439.0,7.082497545986087,3.8993925426429374,10.981890088629024
2009-05-01,10000.0,5458.0,140363.0,1,2009,5,15458.0,7.124384631277473,3.888489131751245,11.012873763028718
2009-06-01,10079.0,5316.0,140826.0,1,2009,6,15395.0,7.157059065797509,3.774871117549316,10.931930183346825
2009-07-01,9933.0,5362.0,141055.0,0,2009,7,15295.0,7.041933997376909,3.801354081741165,10.843288079118075
2009-08-01,10116.0,5390.0,140074.0,0,2009,8,15506.0,7.221896997301426,3.8479660750746034,11.06986307237603
2009-09-01,9959.0,5368.0,139079.0,0,2009,9,15327.0,7.1606784633194085,3.8596768742944656,11.020355337613875
2009-10-01,9627.0,5522.0,139088.0,0,2009,10,15149.0,6.921517312780398,3.9701483952605545,10.891665708040952
2009-11-01,9713.0,5372.0,139132.0,0,2009,11,15085.0,6.981140212172613,3.861081562832418,10.842221775005031
2009-12-01,9622.0,5520.0,137953.0,0,2009,12,15142.0,6.974839256848347,4.001362782976811,10.976202039825157
2010-01-01,9386.0,5483.0,136809.0,0,2010,1,14869.0,6.860659751916906,4.007777266115533,10.86843701803244
2010-02-01,9749.0,5356.0,137203.0,0,2010,2,15105.0,7.105529762468751,3.9037047294884224,11.009234491957173
2010-03-01,9632.0,5446.0,137983.0,0,2010,3,15078.0,6.980570070226042,3.946863019357457,10.927433089583499
2010-04-01,9785.0,5124.0,139302.0,0,2010,4,14909.0,7.024306901552023,3.6783391480380754,10.702646049590099
2010-05-01,9935.0,5135.0,139497.0,0,2010,5,15070.0,7.122016960938228,3.681082747299225,10.803099708237452
2010-06-01,9977.0,5254.0,139882.0,0,2010,6,15231.0,7.132440199596803,3.756022933615476,10.888463133212278
2010-07-01,9811.0,5132.0,140134.0,0,2010,7,14943.0,7.0011560363651935,3.662209028501292,10.663365064866484
2010-08-01,9770.0,4995.0,139919.0,0,2010,8,14765.0,6.982611368005775,3.5699225980746,10.552533966080375
2010-09-01,9680.0,5036.0,139715.0,0,2010,9,14716.0,6.928389936656766,3.6044805496904413,10.532870486347207
2010-10-01,9657.0,5037.0,139749.0,0,2010,10,14694.0,6.910246227164416,3.6043191722302126,10.514565399394629
2010-11-01,9477.0,5037.0,139415.0,0,2010,11,14514.0,6.797690348958146,3.6129541297564822,10.410644478714628
2010-12-01,9309.0,5263.0,139159.0,0,2010,12,14572.0,6.68947031812531,3.782004757148298,10.471475075273608
2011-01-01,9345.0,5208.0,137599.0,0,2011,1,14553.0,6.79147377524546,3.784911227552526,10.576385002797986
2011-02-01,9421.0,5221.0,138093.0,0,2011,2,14642.0,6.82221401519266,3.7807854127291027,10.602999427921763
2011-03-01,9476.0,5169.0,138962.0,0,2011,3,14645.0,6.819130409752306,3.719721938371641,10.538852348123948
2011-04-01,9523.0,5030.0,139661.0,0,2011,4,14553.0,6.818653740127881,3.6015781069876343,10.420231847115515
2011-05-01,9661.0,5232.0,140028.0,0,2011,5,14893.0,6.899334418830519,3.7363955780272518,10.635729996857771
2011-06-01,9627.0,5155.0,140129.0,0,2011,6,14782.0,6.870098266597207,3.678753148884242,10.54885141548145
2011-07-01,9485.0,5170.0,140384.0,0,2011,7,14655.0,6.75646797355824,3.682755869614771,10.43922384317301
2011-08-01,9575.0,5101.0,140335.0,0,2011,8,14676.0,6.822959347276161,3.634873695086757,10.457833042362918
2011-09-01,9249.0,4950.0,140502.0,0,2011,9,14199.0,6.58282444378016,3.5230815219712177,10.105905965751377
2011-10-01,9374.0,5030.0,140987.0,0,2011,10,14404.0,6.648839963968309,3.5677048238490072,10.216544787817316
2011-11-01,9400.0,5060.0,141070.0,0,2011,11,14460.0,6.663358616289785,3.5868717657900335,10.250230382079819
2011-12-01,9252.0,5199.0,140681.0,0,2011,12,14451.0,6.57658105927595,3.695594998613885,10.272176057889835
2012-01-01,9256.0,5191.0,139944.0,0,2012,1,14447.0,6.614074201109015,3.7093408792088263,10.323415080317842
2012-02-01,9110.0,5226.0,140684.0,0,2012,2,14336.0,6.475505387961673,3.714708140229166,10.190213528190839
2012-03-01,9232.0,5130.0,141412.0,0,2012,3,14362.0,6.528441716403134,3.6276977908522614,10.156139507255396
2012-04-01,9357.0,5258.0,141995.0,0,2012,4,14615.0,6.5896686503045885,3.7029472868762983,10.292615937180887
2012-05-01,9627.0,5419.0,142727.0,0,2012,5,15046.0,6.745044735754272,3.796758847309899,10.541803583064171
2012-06-01,9875.0,5206.0,143202.0,0,2012,6,15081.0,6.895853409868577,3.6354240862557785,10.531277496124355
2012-07-01,9800.0,5256.0,143126.0,0,2012,7,15056.0,6.847113731956458,3.6722887525676677,10.519402484524125
2012-08-01,9618.0,5366.0,142558.0,0,2012,8,14984.0,6.7467276476942715,3.7640819876822067,10.510809635376479
2012-09-01,9702.0,5263.0,143333.0,0,2012,9,14965.0,6.768852950820816,3.671869004346522,10.440721955167337
2012-10-01,9532.0,5383.0,144039.0,0,2012,10,14915.0,6.617652163650122,3.737182290907324,10.354834454557446
2012-11-01,9738.0,5160.0,143549.0,0,2012,11,14898.0,6.78374631658876,3.594591393879442,10.378337710468202
2012-12-01,9502.0,5175.0,143060.0,0,2012,12,14677.0,6.641968404865092,3.617363344051447,10.259331748916539
2013-01-01,9200.0,5244.0,141614.0,0,2013,1,14444.0,6.496532828675131,3.703023712344825,10.199556541019955
2013-02-01,9250.0,5246.0,142228.0,0,2013,2,14496.0,6.503642039542144,3.6884439069662793,10.192085946508422
2013-03-01,8964.0,5419.0,142698.0,0,2013,3,14383.0,6.281797922886095,3.797530448920097,10.079328371806191
2013-04-01,9415.0,5342.0,143724.0,0,2013,4,14757.0,6.550750048704462,3.716846177395564,10.267596226100025
2013-05-01,9546.0,5305.0,144432.0,0,2013,5,14851.0,6.609338650714523,3.673008751523208,10.28234740223773
2013-06-01,9720.0,5170.0,144841.0,0,2013,6,14890.0,6.710807022873357,3.5694313074336685,10.280238330307027
2013-07-01,9925.0,5187.0,145113.0,0,2013,7,15112.0,6.839497495055578,3.5744557689524714,10.413953264008049
2013-08-01,9638.0,5318.0,144509.0,0,2013,8,14956.0,6.669480793583791,3.6800476094914503,10.34952840307524
2013-09-01,9486.0,5310.0,144651.0,0,2013,9,14796.0,6.557853039384449,3.6709044527863615,10.22875749217081
2013-10-01,9292.0,5423.0,144144.0,0,2013,10,14715.0,6.446331446331446,3.762210012210012,10.20854145854146
2013-11-01,9343.0,5330.0,144775.0,0,2013,11,14673.0,6.4534622690381624,3.681574857537558,10.135037126575721
2013-12-01,9122.0,5433.0,144423.0,0,2013,12,14555.0,6.316168477320095,3.7618661847489667,10.078034662069062
2014-01-01,9042.0,5452.0,143526.0,0,2014,1,14494.0,6.299903850173488,3.798614885107925,10.098518735281413
2014-02-01,9261.0,5385.0,144134.0,0,2014,2,14646.0,6.425270928441589,3.7361066785075,10.161377606949088
2014-03-01,9249.0,5462.0,145090.0,0,2014,3,14711.0,6.374664001654145,3.764559928320353,10.139223929974499
2014-04-01,9290.0,5384.0,145767.0,0,2014,4,14674.0,6.373184602825057,3.6935657590538327,10.066750361878888
2014-05-01,9199.0,5396.0,146398.0,0,2014,5,14595.0,6.283555786281234,3.6858427027691634,9.969398489050397
2014-06-01,9340.0,5302.0,147104.0,0,2014,6,14642.0,6.349249510550359,3.604252773547966,9.953502284098326
2014-07-01,9337.0,5324.0,147265.0,0,2014,7,14661.0,6.340270940141921,3.6152514175126473,9.955522357654568
2014-08-01,9332.0,5294.0,146647.0,0,2014,8,14626.0,6.3635805710311155,3.610029526686533,9.973610097717648
2014-09-01,9592.0,5400.0,146941.0,0,2014,9,14992.0,6.527790065400398,3.674944365425579,10.202734430825977
2014-10-01,9715.0,5507.0,147936.0,0,2014,10,15222.0,6.567028985507246,3.7225556997620592,10.289584685269306
2014-11-01,9640.0,5585.0,147666.0,0,2014,11,15225.0,6.528246177183644,3.782184118212723,10.310430295396367
2014-12-01,9304.0,5666.0,147190.0,0,2014,12,14970.0,6.321081595217066,3.849446293905836,10.170527889122903
2015-01-01,9315.0,5483.0,146552.0,0,2015,1,14798.0,6.356105682624597,3.741334133959277,10.097439816583874
2015-02-01,9047.0,5425.0,147118.0,0,2015,2,14472.0,6.1494854470561044,3.687516143503854,9.837001590559959
2015-03-01,9469.0,5514.0,147635.0,0,2015,3,14983.0,6.41379076777187,3.734886713855116,10.148677481626985
2015-04-01,9636.0,5378.0,148587.0,0,2015,4,15014.0,6.485089543499768,3.6194283483750262,10.104517891874794
2015-05-01,10073.0,5457.0,149349.0,0,2015,5,15530.0,6.744604918680406,3.6538577426028964,10.398462661283302
2015-06-01,9731.0,5555.0,149645.0,0,2015,6,15286.0,6.502723111363561,3.712118680878078,10.21484179224164
2015-07-01,9791.0,5453.0,149722.0,0,2015,7,15244.0,6.539453119781996,3.6420833277674625,10.181536447549458
2015-08-01,9669.0,5176.0,149228.0,0,2015,8,14845.0,6.479347039429598,3.468517972498459,9.947865011928057
2015-09-01,9262.0,5534.0,148980.0,0,2015,9,14796.0,6.216941871392133,3.714592562760102,9.931534434152235
2015-10-01,9469.0,5283.0,149716.0,0,2015,10,14752.0,6.324641320900906,3.5286809693018784,9.853322290202783
2015-11-01,9493.0,5692.0,149766.0,0,2015,11,15185.0,6.3385548121736575,3.8005955957961084,10.139150407969765
2015-12-01,9146.0,5842.0,149703.0,0,2015,12,14988.0,6.109430004742724,3.902393405609774,10.011823410352498
2016-01-01,9291.0,5796.0,149037.0,0,2016,1,15087.0,6.234022423961835,3.888967169226434,10.122989593188269
2016-02-01,9463.0,5793.0,150060.0,0,2016,2,15256.0,6.306144208983073,3.8604558176729307,10.166600026656004
2016-03-01,9724.0,5567.0,150738.0,0,2016,3,15291.0,6.450928100412637,3.693162971513487,10.144091071926123
2016-04-01,9809.0,5518.0,151075.0,0,2016,4,15327.0,6.492801588614927,3.652490484858514,10.14529207347344
2016-05-01,9813.0,5476.0,151594.0,0,2016,5,15289.0,6.473211340818239,3.6122801693998445,10.085491510218082
2016-06-01,9794.0,5586.0,151990.0,0,2016,6,15380.0,6.443844989801961,3.6752417922231726,10.119086782025134
2016-07-01,9586.0,5468.0,152437.0,0,2016,7,15054.0,6.28849951127351,3.5870556360988473,9.875555147372356
2016-08-01,9577.0,5342.0,151804.0,0,2016,8,14919.0,6.308792917182683,3.519011356749493,9.827804273932175
2016-09-01,9486.0,5734.0,151977.0,0,2016,9,15220.0,6.241733946584023,3.772939326345434,10.014673272929457
2016-10-01,9558.0,5704.0,152335.0,0,2016,10,15262.0,6.27432960252076,3.744379164341747,10.018708766862506
2016-11-01,9553.0,5898.0,152385.0,0,2016,11,15451.0,6.268989729960298,3.87045969091446,10.139449420874758
2016-12-01,9596.0,5835.0,151798.0,0,2016,12,15431.0,6.321558913819682,3.8439241623736806,10.165483076193363
2017-01-01,9060.0,5713.0,150527.0,0,2017,1,14773.0,6.018853760454935,3.7953323988387466,9.814186159293682
2017-02-01,9529.0,5681.0,151594.0,0,2017,2,15210.0,6.28586883385886,3.7475097959022126,10.033378629761073
2017-03-01,9497.0,5740.0,152628.0,0,2017,3,15237.0,6.222318316429488,3.760777838928637,9.983096155358126
2017-04-01,9463.0,5861.0,153262.0,0,2017,4,15324.0,6.1743941746812645,3.824170374913547,9.998564549594812
2017-05-01,9525.0,5742.0,153407.0,0,2017,5,15267.0,6.208973514898277,3.7429843488237173,9.951957863721994
2017-06-01,9783.0,5611.0,154086.0,0,2017,6,15394.0,6.349051828199836,3.6414729436808018,9.990524771880638
2017-07-01,9275.0,5752.0,154470.0,0,2017,7,15027.0,6.004402149284651,3.7237003948986858,9.728102544183336
2017-08-01,9376.0,5829.0,153576.0,0,2017,8,15205.0,6.105120591759129,3.7955149242069073,9.900635515966036
2017-09-01,9602.0,5974.0,154494.0,0,2017,9,15576.0,6.215128095589472,3.8668168343107174,10.08194492990019
2017-10-01,9789.0,6171.0,154223.0,0,2017,10,15960.0,6.34730228305765,4.001348696368246,10.348650979425896
2017-11-01,9785.0,6021.0,154180.0,0,2017,11,15806.0,6.346478142430925,3.905175768582177,10.251653911013102
2017-12-01,9624.0,6047.0,153602.0,0,2017,12,15671.0,6.2655434174034195,3.9367976979466413,10.20234111535006
2018-01-01,9570.0,5958.0,152848.0,0,2018,1,15528.0,6.261122160577829,3.8979901601591123,10.159112320736941
2018-02-01,9611.0,5767.0,154403.0,0,2018,2,15378.0,6.224619987953602,3.73503105509608,9.959651043049682
2018-03-01,9799.0,5891.0,154877.0,0,2018,3,15690.0,6.326956229782343,3.8036635523673623,10.130619782149706
2018-04-01,9798.0,5787.0,155348.0,0,2018,4,15585.0,6.307129798903108,3.7251847465046217,10.03231454540773
2018-05-01,9889.0,5696.0,156009.0,0,2018,5,15585.0,6.338736867744809,3.651071412546712,9.989808280291522
2018-06-01,9587.0,5586.0,156465.0,0,2018,6,15173.0,6.127248905506024,3.570127504553734,9.697376410059757
2018-07-01,9718.0,5545.0,157004.0,0,2018,7,15263.0,6.189651219077221,3.531757152684008,9.721408371761228
2018-08-01,9601.0,5768.0,155539.0,0,2018,8,15369.0,6.172728383235073,3.708394679147995,9.881123062383068
2018-09-01,9776.0,5840.0,156191.0,0,2018,9,15616.0,6.259003399683721,3.73901185087489,9.99801525055861
2018-10-01,9747.0,6057.0,156952.0,0,2018,10,15804.0,6.210178908201233,3.8591416484020593,10.069320556603293
2018-11-01,9703.0,6226.0,157015.0,0,2018,11,15929.0,6.179664363277394,3.9652262522688915,10.144890615546286
2018-12-01,9682.0,6085.0,156481.0,0,2018,12,15767.0,6.187332647414063,3.8886510183344942,10.075983665748558
2019-01-01,9418.0,5965.0,154964.0,0,2019,1,15383.0,6.077540590072533,3.849281123357683,9.926821713430217
2019-02-01,9395.0,6072.0,156167.0,0,2019,2,15467.0,6.015995696914201,3.888145382827358,9.904141079741558
2019-03-01,9326.0,5991.0,156441.0,0,2019,3,15317.0,5.96135284228559,3.829558747387194,9.790911589672785
2019-04-01,9230.0,6094.0,156710.0,0,2019,4,15324.0,5.88986025141982,3.8887116329525875,9.778571884372408
2019-05-01,9493.0,6061.0,157152.0,0,2019,5,15554.0,6.040648544084708,3.856775605782936,9.897424149867645
2019-06-01,9671.0,6195.0,157828.0,0,2019,6,15866.0,6.127556580581392,3.925159033884989,10.052715614466381
2019-07-01,9816.0,6225.0,158385.0,0,2019,7,16041.0,6.197556586797992,3.930296429586135,10.127853016384128
2019-08-01,9681.0,6149.0,157816.0,0,2019,8,15830.0,6.134359000354844,3.896309626400365,10.030668626755208
